Time,Yaw (real),Yaw (sim)
0.55,0.97,0.01
0.61,0.96,0.19
0.66,0.95,0.36
0.72,0.9,0.6
0.77,0.86,0.86
0.83,0.79,1.14
0.88,0.71,1.37
0.94,0.62,1.67
0.99,0.53,1.96
1.05,0.43,2.23
1.1,0.35,2.48
1.16,0.26,2.65
1.21,0.17,2.82
1.27,0.11,2.93
1.32,0.29,3.01
1.38,-0.04,3.03
1.43,-0.3,3.01
1.49,-0.48,2.94
1.54,-0.58,2.86
1.6,-0.64,2.71
1.65,-0.63,2.55
1.71,-0.54,2.37
1.76,-0.42,2.21
1.82,-0.23,1.99
1.87,-0.03,1.78
1.93,0.24,1.57
1.98,0.55,1.4
2.04,0.89,1.2
2.09,1.25,1.01
2.15,1.59,0.82
2.2,1.86,0.68
2.26,2.17,0.51
2.31,2.44,0.37
2.37,2.61,0.29
2.42,2.79,0.23
2.48,2.9,0.23
2.53,2.97,0.3
2.59,2.98,0.4
2.64,2.95,0.52
2.7,2.88,0.69
2.75,2.77,0.88
2.81,2.62,1.11
2.86,2.48,1.33
2.92,2.28,1.62
2.97,2.1,1.93
3.03,1.87,2.19
3.08,1.62,2.52
3.14,1.39,2.84
3.19,1.16,3.13
3.25,0.99,3.34
3.3,0.8,3.56
3.36,0.63,3.72
3.41,0.53,3.81
3.47,0.43,3.83
3.52,0.39,3.8
3.58,0.39,3.68
3.63,0.43,3.49
3.69,0.5,3.3
3.74,0.62,3.03
3.8,0.78,2.73
3.85,0.96,2.41
3.91,1.16,2.12
3.96,1.34,1.76
4.02,1.56,1.45
4.07,1.66,1.04
4.13,1.62,0.58
4.18,1.38,0.07
4.24,0.95,-0.62
4.29,0.35,-1.44
4.35,-0.49,-2.2
4.4,-1.28,-3.23
4.46,-2.36,-4.38
4.51,-3.57,-5.58
4.57,-4.85,-6.59
4.62,-5.88,-7.9
4.68,-7.12,-9.25
4.73,-8.3,-10.53
4.79,-9.43,-11.51
4.84,-10.44,-12.59
4.9,-11.19,-13.6
4.95,-12.01,-14.46
5.01,-12.75,-15.09
5.06,-13.53,-15.81
5.12,-14.18,-16.5
5.17,-15.01,-17.05
5.23,-15.84,-17.76
5.28,-16.67,-18.48
5.34,-17.37,-19.19
5.39,-18.29,-19.82
5.45,-19.11,-20.28
5.5,-19.88,-20.77
5.56,-20.39,-21.95
5.61,-20.97,-22.2
5.67,-21.52,-22.45
5.72,-21.94,-22.7
5.78,-22.46,-22.94
5.83,-22.94,-23.21
5.89,-23.38,-23.43
5.94,-23.77,-23.71
6,-24.08,-23.97
6.05,-24.41,-24.13
6.11,-24.71,-24.3
6.16,-24.92,-24.43
6.22,-25.16,-25
6.27,-25.36,-25.07
6.33,-25.52,-25.13
6.38,-25.62,-25.13
6.44,-25.72,-25.13
6.49,-25.79,-25.12
6.55,-25.83,-25.13
6.6,-25.84,-25.15
6.66,-25.72,-25.18
6.71,-25.35,-25.21
6.77,-24.81,-25.23
6.82,-23.83,-25.24
6.88,-22.56,-25.22
6.93,-21.34,-25.18
6.99,-19.56,-25.13
7.04,-17.46,-25.05
7.1,-15.1,-24.91
7.15,-13.07,-24.63
7.21,-10.45,-23.97
7.26,-7.78,-22.87
7.32,-5.14,-21.37
7.37,-3.06,-19.85
7.43,-0.6,-17.53
7.48,0.88,-14.83
7.54,1.93,-11.97
7.59,2.65,-9.54
7.7,3.93,-6.37
7.76,4.28,-3.2
7.81,4.42,-0.15
7.87,4.44,1.39
7.92,4.28,2.49
7.98,3.99,3.71
8.03,3.66,4.74
8.09,3.17,5.4
8.14,2.59,6.01
8.2,1.98,6.39
8.25,1.35,6.56
8.31,0.83,6.52
8.36,0.19,6.35
8.42,-0.79,6.03
8.47,-1.65,5.57
8.53,-2.59,5.02
8.58,-3.35,4.52
8.64,-3.91,3.88
8.69,-4.26,3.24
8.75,-4.38,2.6
8.8,-4.35,2.01
8.86,-4.16,1.57
8.91,-3.81,1.07
8.97,-3.43,0.64
9.02,-2.85,0.3
9.08,-2.34,0.08
9.13,-1.63,-0.23
9.19,-0.89,-0.43
9.24,-0.13,-0.47
9.3,0.56,-0.39
9.35,1.18,-0.16
9.41,1.61,0.09
9.46,2.05,0.33
9.52,2.38,0.56
9.57,2.58,0.87
9.63,2.73,1.18
9.68,2.79,1.4
9.74,2.76,1.61
9.79,2.67,1.74
9.85,2.55,1.78
9.9,2.43,1.76
9.96,2.37,1.69
10.01,2.35,1.6
10.07,2.39,1.46
10.12,2.46,1.3
10.18,2.52,1.12
10.23,2.6,0.98
10.29,2.66,0.8
10.34,2.69,0.64
10.4,2.7,0.49
10.45,2.67,0.39
10.51,2.61,0.28
10.56,2.51,0.21
10.62,2.4,0.18
10.67,2.24,0.17
10.73,2.11,0.2
10.78,1.91,0.26
10.84,1.69,0.36
10.89,1.46,0.5
10.95,1.22,0.67
11,0.98,0.86
11.06,0.77,1.07
11.11,0.53,1.24
11.17,0.29,1.46
11.22,0.1,1.65
11.28,-0.12,1.82
11.33,-0.33,1.94
11.39,-0.52,2.08
11.44,-0.71,2.18
11.5,-0.84,2.27
11.55,-1,2.32
11.61,-1.14,2.36
11.66,-1.23,2.37
11.72,-1.32,2.35
11.77,-1.39,2.32
11.83,-1.43,2.27
11.88,-1.45,2.21
11.94,-1.42,2.12
11.99,-1.35,2.01
12.05,-1.22,1.9
12.1,-1.04,1.78
12.16,-0.85,1.66
12.21,-0.57,1.55
12.27,-0.24,1.42
12.32,0.11,1.29
12.38,0.41,1.19
12.43,0.79,1.07
12.49,1.16,0.95
12.54,1.52,0.87
12.6,1.78,0.77
12.65,2.07,0.69
12.71,2.33,0.63
12.76,2.55,0.58
12.82,2.69,0.54
12.87,2.83,0.51
12.93,2.89,0.48
12.98,2.89,0.46
13.04,2.81,0.44
13.09,2.69,0.44
13.15,2.52,0.46
13.2,2.33,0.48
13.26,2.17,0.5
13.31,1.96,0.53
13.37,1.76,0.54
13.42,1.57,0.54
13.48,1.42,0.52
13.53,1.26,0.5
13.59,1.12,0.51
13.64,1.01,0.56
13.7,0.92,0.65
13.75,0.87,0.79
13.81,0.84,0.94
13.86,0.83,1.15
13.92,0.84,1.39
13.97,0.86,1.63
14.03,0.88,1.83
14.08,0.89,2.06
14.14,0.9,2.22
14.19,0.91,2.37
14.25,0.91,2.48
14.3,0.93,2.54
14.36,0.95,2.57
14.41,0.97,2.54
14.47,1,2.49
14.52,1.03,2.4
14.58,1.07,2.29
14.63,1.12,2.18
14.69,1.18,2.05
14.74,1.24,1.91
14.8,1.29,1.78
14.85,1.33,1.64
14.91,1.38,1.54
14.96,1.42,1.42
15.02,1.45,1.29
15.07,1.47,1.2
15.13,1.42,1.14
15.18,1.28,1.1
15.24,1.13,1.08
15.29,0.92,1.07
15.35,0.72,1.07
15.4,0.53,1.1
15.46,0.43,1.14
15.51,0.41,1.17
15.57,0.51,1.22
15.62,0.68,1.27
15.68,0.88,1.32
15.73,1.17,1.37
15.79,1.46,1.43
15.84,1.71,1.48
15.9,1.86,1.53
15.95,2.01,1.57
16.01,2.12,1.61
16.06,2.2,1.63
16.12,2.24,1.66
16.17,2.27,1.67
16.23,2.26,1.66
16.28,2.23,1.64
16.34,2.19,1.61
16.39,2.15,1.56
16.45,2.11,1.48
16.5,2.1,1.38
16.56,2.11,1.27
