Time,alt (sim)
0,0.02
0.01,0.02
0.02,0.02
0.02,0.02
0.02,0.02
0.03,0.02
0.04,0.02
0.04,0.02
0.05,0.02
0.06,0.02
0.06,0.02
0.06,0.02
0.07,0.02
0.08,0.02
0.09,0.02
0.09,0.02
0.1,0.02
0.1,0.02
0.11,0.02
0.12,0.02
0.13,0.02
0.13,0.02
0.14,0.02
0.15,0.02
0.15,0.02
0.16,0.02
0.16,0.02
0.16,0.02
0.17,0.02
0.18,0.02
0.18,0.02
0.19,0.02
0.2,0.02
0.2,0.05
0.21,0.05
0.21,0.05
0.23,0.05
0.23,0.05
0.24,0.05
0.25,0.05
0.25,0.05
0.26,0.05
0.27,0.05
0.27,0.05
0.28,0.05
0.28,0.05
0.29,0.05
0.29,0.05
0.31,0.05
0.31,0.05
0.31,0.05
0.32,0.05
0.32,0.05
0.33,0.05
0.34,0.05
0.35,0.05
0.35,0.05
0.36,0.05
0.37,0.05
0.38,0.05
0.38,0.05
0.38,0.05
0.39,0.05
0.4,0.05
0.41,0.05
0.42,0.05
0.42,0.05
0.42,0.05
0.43,0.05
0.44,0.05
0.45,0.05
0.45,0.05
0.46,0.05
0.46,0.05
0.46,0.05
0.47,0.05
0.48,0.05
0.49,0.05
0.49,0.05
0.5,0.05
0.51,0.05
0.52,0.05
0.53,0.05
0.53,0.05
0.53,0.05
0.54,0.05
0.55,0.05
0.55,0.05
0.57,0.05
0.57,0.05
0.57,0.05
0.59,0.05
0.59,0.05
0.6,0.05
0.61,0.05
0.61,0.05
0.62,0.05
0.63,0.05
0.63,0.05
0.64,0.05
0.65,0.05
0.65,0.05
0.66,0.05
0.66,0.05
0.67,0.05
0.67,0.05
0.67,0.05
0.68,0.05
0.68,0.05
0.7,0.05
0.7,0.05
0.7,0.05
0.72,0.05
0.72,0.05
0.72,0.05
0.74,0.05
0.74,0.05
0.74,0.05
0.75,0.05
0.76,0.05
0.76,0.05
0.77,0.05
0.78,0.05
0.78,0.05
0.79,0.05
0.79,0.05
0.8,0.05
0.8,0.05
0.81,0.05
0.82,0.05
0.82,0.05
0.83,0.05
0.84,0.05
0.85,0.05
0.85,0.05
0.86,0.05
0.87,0.05
0.87,0.05
0.88,0.05
0.89,0.05
0.89,0.05
0.9,0.05
0.91,0.05
0.92,0.05
0.93,0.05
0.93,0.05
0.94,0.05
0.95,0.05
0.95,0.05
0.96,0.05
0.97,0.05
0.97,0.05
0.98,0.05
0.99,0.05
0.99,0.05
1,0.05
1,0.05
1.01,0.05
1.02,0.05
1.03,0.05
1.04,0.05
1.04,0.05
1.06,0.05
1.06,0.05
1.07,0.05
1.07,0.05
1.08,0.05
1.09,0.05
1.09,0.05
1.1,0.05
1.11,0.05
1.12,0.05
1.59,0.05
1.59,0.05
1.6,0.05
1.61,0.05
1.61,0.05
1.62,0.05
1.63,0.05
1.63,0.05
1.64,0.05
1.65,0.05
1.65,0.05
3.53,0.05
3.53,0.05
3.54,0.05
3.55,0.05
3.56,0.05
3.56,0.05
3.57,0.05
3.58,0.05
3.58,0.05
3.59,0.05
3.6,0.05
3.6,0.05
3.8,0.05
5.5,0.05
5.5,0.05
5.51,0.05
5.52,0.05
5.52,0.05
5.54,0.05
5.54,0.05
5.55,0.05
5.56,0.05
5.56,0.05
5.58,0.05
5.71,0.05
5.77,0.05
7.27,0.22
7.28,0.22
7.29,0.22
7.3,0.22
7.31,0.22
7.32,0.23
7.33,0.23
7.33,0.23
7.35,0.23
7.52,0.29
7.52,0.29
7.57,0.31
7.63,0.34
9.02,0.9
9.03,0.91
9.04,0.91
9.04,0.91
9.06,0.91
9.07,0.91
9.08,0.91
9.09,0.91
9.16,0.92
9.25,0.73
9.3,0.74
9.37,0.74
10.74,1.13
10.75,1.13
10.77,1.13
10.78,1.13
10.79,1.13
10.81,1.14
10.82,1.14
10.88,1.15
10.97,1.16
10.98,1.16
10.99,1.16
11.03,1.16
11.05,1.16
11.09,1.17
11.1,1.17
11.24,1.18
12.55,1.23
12.56,1.23
12.59,1.23
12.61,1.23
12.61,1.23
12.74,1.23
12.79,1.23
12.8,1.23
12.81,1.23
12.86,1.23
12.91,1.23
13.1,1.23
14.36,1.24
14.36,1.24
14.41,1.24
14.43,1.24
14.54,1.24
14.59,1.24
14.59,1.24
14.61,1.24
14.65,1.24
14.71,1.24
14.86,1.24
15.02,1.24
16.14,1.25
16.14,1.25
16.16,1.25
16.19,1.25
16.2,1.25
16.37,1.25
16.38,1.25
16.38,1.25
16.43,1.25
16.47,1.25
